Valor,Year,Lag_1,Lag_12,Month_sin,Month_cos,Mes_Aug,Mes_Dec,Mes_Feb,Mes_Jan,Mes_Jul,Mes_Jun,Mes_Mar,Mes_May,Mes_Nov,Mes_Oct,Mes_Sep,Fecha
0.11560693641618497,0.0,0.09248554913294796,0.06395348837209303,0.24999999999999978,0.9330127018922192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1996-11-01
0.12138728323699421,0.0,0.11560693641618497,0.0755813953488372,0.4999999999999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996-12-01
0.17341040462427745,0.043478260869562746,0.12138728323699421,0.0697674418604651,0.75,0.9330127018922194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-01-01
0.1098265895953757,0.043478260869562746,0.17341040462427745,0.06395348837209303,0.9330127018922193,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-02-01
0.1098265895953757,0.043478260869562746,0.1098265895953757,0.08720930232558141,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1997-03-01
0.13872832369942195,0.043478260869562746,0.1098265895953757,0.06395348837209303,0.9330127018922194,0.2500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-04-01
0.1791907514450867,0.043478260869562746,0.13872832369942195,0.08139534883720931,0.75,0.06698729810778065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1997-05-01
0.11560693641618497,0.043478260869562746,0.1791907514450867,0.13953488372093026,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1997-06-01
0.11560693641618497,0.043478260869562746,0.11560693641618497,0.12209302325581395,0.2500000000000001,0.06698729810778059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-07-01
0.1791907514450867,0.043478260869562746,0.11560693641618497,0.12790697674418605,0.06698729810778081,0.24999999999999978,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-08-01
0.16763005780346818,0.043478260869562746,0.1791907514450867,0.1046511627906977,0.0,0.4999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1997-09-01
0.23121387283236997,0.043478260869562746,0.16763005780346818,0.1046511627906977,0.0669872981077807,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1997-10-01
0.15606936416184972,0.043478260869562746,0.23121387283236997,0.12790697674418605,0.24999999999999978,0.9330127018922192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1997-11-01
0.18497109826589592,0.043478260869562746,0.15606936416184972,0.13372093023255816,0.4999999999999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997-12-01
0.23699421965317916,0.08695652173912549,0.18497109826589592,0.18604651162790697,0.75,0.9330127018922194,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-01-01
0.17341040462427745,0.08695652173912549,0.23699421965317916,0.12209302325581395,0.9330127018922193,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-02-01
0.2543352601156069,0.08695652173912549,0.17341040462427745,0.12209302325581395,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1998-03-01
0.20231213872832374,0.08695652173912549,0.2543352601156069,0.1511627906976744,0.9330127018922194,0.2500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-04-01
0.20231213872832374,0.08695652173912549,0.20231213872832374,0.19186046511627908,0.75,0.06698729810778065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1998-05-01
0.2601156069364162,0.08695652173912549,0.20231213872832374,0.12790697674418605,0.5000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1998-06-01
0.2427745664739884,0.08695652173912549,0.2601156069364162,0.12790697674418605,0.2500000000000001,0.06698729810778059,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1998-07-01
