NombrePais,Total_Pais_Mes,Categoria,Total_Categoria_Mes,Clase,Litros 40 % Alc. Vol,AñoArchivo,Mes
AUSTRALIA,122519.19,TEQUILA,28161.0,REPOSADO,6615.0,2024,12
REPUBLICA CHECA,20386.77,TEQUILA 100% DE AGAVE,10709.97,REPOSADO,5039.99,2005,8
SUIZA,4601.52,TEQUILA,3942.12,REPOSADO,829.92,2013,1
SUIZA,9723.0,TEQUILA 100% DE AGAVE,168.0,AÑEJO,42.0,2023,10
PORTUGAL,10413.9,TEQUILA,10413.9,BLANCO,2513.7,2019,5
ALEMANIA,690786.39,TEQUILA 100% DE AGAVE,2912.7,AÑEJO,875.4,2010,11
ESPAÑA,43893.01,TEQUILA,43893.01,JOVEN,12600.01,1998,1
HONDURAS,2248.88,TEQUILA,1433.25,JOVEN,1433.25,2009,5
RUSIA,39200.3,TEQUILA 100% DE AGAVE,10109.4,AÑEJO,63.0,2024,11
BELGICA,75554.05,TEQUILA,75554.05,JOVEN,14850.0,2010,6
SUDAFRICA,114388.35,TEQUILA,104372.1,BLANCO,15750.9,2010,4
ESTADOS UNIDOS DE AMERICA,10116115.86,TEQUILA 100% DE AGAVE,5360073.29,EXTRA AÑEJO,15922.5,2013,10
ALEMANIA,645586.57,TEQUILA 100% DE AGAVE,21129.5,EXTRA AÑEJO,171.75,2021,10
PAISES BAJOS,49440.27,TEQUILA 100% DE AGAVE,11147.7,BLANCO,8024.7,2016,4
RUSIA,41929.07,TEQUILA,19676.12,BLANCO,8105.72,2015,10
MEXICO,67142.43,TEQUILA 100% DE AGAVE,58996.67,AÑEJO,15101.56,2010,3
SINGAPUR,22413.39,TEQUILA 100% DE AGAVE,17433.87,EXTRA AÑEJO,191.52,2021,6
ISLAS VIRGENES NORTEAMERICANAS,1008.0,TEQUILA,1008.0,BLANCO,1008.0,2017,6
ARMENIA ,683.55,TEQUILA 100% DE AGAVE,683.55,JOVEN,683.55,2023,9
TURQUIA,27032.88,TEQUILA,8426.88,BLANCO,8426.88,2023,9
DINAMARCA,321.17,TEQUILA 100% DE AGAVE,321.17,REPOSADO,160.77,1997,7
AUSTRIA,5458.32,TEQUILA 100% DE AGAVE,5458.32,REPOSADO,3447.36,2017,7
CANADA,180297.26,TEQUILA 100% DE AGAVE,26031.23,AÑEJO,4254.0,2009,8
ARGENTINA,7911.01,TEQUILA,7740.01,REPOSADO,3870.01,1998,11
SERBIA,10729.62,TEQUILA 100% DE AGAVE,4.5,EXTRA AÑEJO,4.5,2015,11
VENEZUELA,6039.0,TEQUILA 100% DE AGAVE,1984.5,REPOSADO,1080.0,2008,7
CHIPRE,4988.34,TEQUILA 100% DE AGAVE,1732.5,REPOSADO,346.5,2014,11
SINGAPUR,163218.85,TEQUILA 100% DE AGAVE,33920.35,REPOSADO,8453.01,2024,7
SUDAFRICA,20623.05,TEQUILA 100% DE AGAVE,9941.85,AÑEJO,576.0,2010,11
COLOMBIA,18552.0,TEQUILA,14485.8,JOVEN,4200.0,2013,12
GUATEMALA,13135.63,TEQUILA,8960.4,REPOSADO,6908.4,2015,9
ESTADOS UNIDOS DE AMERICA,18802780.66,TEQUILA 100% DE AGAVE,10867723.68,BLANCO,6852521.19,2019,10
TAILANDIA,7666.8,TEQUILA,7666.8,REPOSADO,7663.8,2020,11
LETONIA,71767.2,TEQUILA,63031.2,JOVEN,4948.5,2011,11
COLOMBIA,25199.07,TEQUILA,19628.18,JOVEN,2845.16,2007,7
HONDURAS,23403.83,TEQUILA 100% DE AGAVE,764.62,AÑEJO,428.63,1997,8
NICARAGUA,3698.1,TEQUILA,3698.1,BLANCO,2655.0,1998,6
HONG KONG,9942.0,TEQUILA,9936.0,REPOSADO,9936.0,2007,4
AUSTRIA,12978.54,TEQUILA 100% DE AGAVE,2564.64,REPOSADO,807.0,2015,5
COLOMBIA,14511.15,TEQUILA,14286.0,JOVEN,8088.75,2010,10
ESTADOS UNIDOS DE AMERICA,5923861.5,TEQUILA,5559087.11,BLANCO,1522259.05,1998,7
ESTONIA,4404.96,TEQUILA,4404.96,JOVEN,1915.2,2007,10
GRECIA,122859.78,TEQUILA 100% DE AGAVE,84470.28,AÑEJO,846.65,2022,8
BELGICA,227296.42,TEQUILA,227275.0,JOVEN,26550.0,1998,3
COLOMBIA,25642.95,TEQUILA 100% DE AGAVE,5122.98,AÑEJO,360.0,2025,3
ALEMANIA,438655.4,TEQUILA,438203.15,BLANCO,313343.25,2005,8
SURINAME,8999.99,TEQUILA,8639.99,REPOSADO,4752.0,2006,8
ESPAÑA,427515.08,TEQUILA,421330.58,REPOSADO,57456.0,2008,9
BAHAMAS,7542.0,TEQUILA,7182.0,BLANCO,957.6,2013,5
BELGICA,160332.0,TEQUILA,160332.0,AÑEJO,16200.0,2000,6
EMIRATOS ARABES UNIDOS,14093.13,TEQUILA,9740.1,BLANCO,4340.88,2019,2
ESTADOS UNIDOS DE AMERICA,14509935.29,TEQUILA 100% DE AGAVE,7663438.24,JOVEN,228051.9,2017,8
ESPAÑA,142298.59,TEQUILA 100% DE AGAVE,11113.2,REPOSADO,5527.2,2020,4
REPUBLICA CHECA,23371.08,TEQUILA 100% DE AGAVE,945.0,REPOSADO,472.5,2011,7
AUSTRALIA,13414.01,TEQUILA,12673.5,JOVEN,3895.5,2006,2
NICARAGUA,36.0,TEQUILA 100% DE AGAVE,36.0,REPOSADO,18.0,2015,7
ITALIA,160634.08,TEQUILA 100% DE AGAVE,51273.1,REPOSADO,4818.24,2020,9
LETONIA,128524.16,TEQUILA 100% DE AGAVE,48950.62,REPOSADO,8607.04,2024,9
FRANCIA,71113.27,TEQUILA,68428.0,AÑEJO,17.41,2003,9
PUERTO RICO,51141.0,TEQUILA 100% DE AGAVE,12861.0,BLANCO,5886.0,2023,6
BRASIL,342927.45,TEQUILA,336904.2,BLANCO,66074.4,2022,8
BAHAMAS,8325.0,TEQUILA 100% DE AGAVE,8325.0,AÑEJO,42.75,2023,9
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,383993.61,TEQUILA 100% DE AGAVE,292485.21,BLANCO,158252.59,2024,10
SUDAFRICA,66209.4,TEQUILA,57753.0,AÑEJO,8847.0,2017,2
MEXICO,26277.23,TEQUILA,17403.64,JOVEN,1312.25,1998,12
NUEVA ZELANDIA,63406.71,TEQUILA,37283.47,BLANCO,17322.48,2023,6
RUSIA,31470.63,TEQUILA 100% DE AGAVE,7979.62,AÑEJO,1036.8,2015,6
ESPAÑA,820900.79,TEQUILA,760806.9,REPOSADO,277178.59,2022,9
RUSIA,51227.86,TEQUILA,31772.56,BLANCO,12319.22,2015,5
KENYA,3.89,TEQUILA,1.75,REPOSADO,0.88,2016,10
MALASIA,11646.0,TEQUILA,11646.0,REPOSADO,11646.0,2016,2
BRASIL,35348.4,TEQUILA,35114.4,JOVEN,13410.0,2019,6
PUERTO RICO,215512.59,TEQUILA 100% DE AGAVE,1701.0,AÑEJO,1701.0,2004,7
COSTA RICA,22302.0,TEQUILA 100% DE AGAVE,6320.25,REPOSADO,3048.75,2013,5
LETONIA,205510.51,TEQUILA 100% DE AGAVE,43170.52,BLANCO,22249.1,2019,7
SUDAFRICA,98774.33,TEQUILA,44849.1,AÑEJO,8701.88,2023,9
NORUEGA,4.18,TEQUILA,4.18,JOVEN,4.18,2025,2
HUNGRIA,4.5,TEQUILA 100% DE AGAVE,4.5,AÑEJO,1.5,2009,6
REINO UNIDO DE LA GRAN BRETAÑA E IRLANDA DEL NORTE,113366.43,TEQUILA 100% DE AGAVE,41259.15,AÑEJO,9742.58,2011,7
CANADA,278537.49,TEQUILA,90173.65,JOVEN,25342.2,2020,5
CANADA,70255.3,TEQUILA,51790.45,JOVEN,18667.8,2013,2
QATAR,12324.48,TEQUILA,11442.48,BLANCO,5513.76,2021,2
NICARAGUA,410.4,TEQUILA,410.4,BLANCO,410.4,2017,7
BELGICA,64642.42,TEQUILA 100% DE AGAVE,3560.2,BLANCO,353.16,2021,10
PAISES BAJOS,174828.87,TEQUILA,168352.79,JOVEN,47958.79,2006,9
CANADA,491552.11,TEQUILA 100% DE AGAVE,458170.91,BLANCO,189184.8,2022,8
TURQUIA,470.25,TEQUILA 100% DE AGAVE,470.25,AÑEJO,106.88,2013,3
BELGICA,173228.4,TEQUILA,173228.4,JOVEN,1920.24,1997,8
ALEMANIA,342845.71,TEQUILA 100% DE AGAVE,27005.18,REPOSADO,12434.55,2008,7
TURQUIA,28810.92,TEQUILA,28810.92,JOVEN,2808.96,2017,12
ESTADOS UNIDOS DE AMERICA,14153633.65,TEQUILA,6459355.75,BLANCO,2719601.3,2017,7
COREA DEL SUR,17551.19,TEQUILA 100% DE AGAVE,4591.19,REPOSADO,3386.95,2009,7
BRASIL,19636.1,TEQUILA,18784.8,JOVEN,10483.2,2009,5
RUSIA,26456.03,TEQUILA,8977.5,JOVEN,85.5,2023,9
SUIZA,19827.32,TEQUILA 100% DE AGAVE,1456.2,BLANCO,817.5,2006,5
AUSTRALIA,102429.66,TEQUILA 100% DE AGAVE,49474.38,EXTRA AÑEJO,21.0,2011,1
CHILE,18000.0,TEQUILA,18000.0,AÑEJO,900.01,2001,6
ISLAS VIRGENES BRITANICAS,2959.2,TEQUILA 100% DE AGAVE,360.0,REPOSADO,360.0,2011,9
BRASIL,50609.25,TEQUILA,50609.25,REPOSADO,3847.5,2002,4
PERU,121259.1,TEQUILA 100% DE AGAVE,12469.8,BLANCO,2536.8,2020,2
COLOMBIA,47892.49,TEQUILA 100% DE AGAVE,18264.9,BLANCO,702.24,2017,1
URUGUAY,10991.26,TEQUILA,10991.26,BLANCO,10991.26,1997,1
EL SALVADOR,32444.81,TEQUILA,24156.56,REPOSADO,14553.0,2024,11
BELGICA,6.75,TEQUILA 100% DE AGAVE,6.75,AÑEJO,2.25,2013,3
UCRANIA,26000.74,TEQUILA,12505.8,BLANCO,4749.24,2024,9
